Building Name,ADDRESS
DIGITAL COMPUTER LABORATORY,1304 W. SPRINGFIELD URBANA IL
1203 W. CALIFORNIA,1203 W. CALIFORNIA URBANA IL
1202 W. CALIFORNIA,1202 W. CALIFORNIA URBANA IL
ENVIRON HEALTH & SAFETY BLDG,101 S. GREGORY AVE. URBANA IL
"911 S SIXTH, CHAMPAIGN",911 S. SIXTH CHAMPAIGN IL
"909 S SIXTH, CHAMPAIGN",909 S. SIXTH CHAMPAIGN IL
POST OFFICE AND SNACK BAR -IL ORANGE,301 E. GREGORY CHAMPAIGN IL
HOUSING FOOD STORES,1321 S. OAK CHAMPAIGN IL
SCHOOL OF LABOR & EMPLOYMENT RELATIONS,504 E. ARMORY CHAMPAIGN IL
ART AND DESIGN BUILDING,408 E. PEABODY CHAMPAIGN IL
KRANNERT ART MUSEUM,500 E. PEABODY CHAMPAIGN IL
"805 W PENNSYLVANIA, URBANA",805 W. PENNSYLVANIA URBANA IL
PRINTING & PHOTOGRAPHIC SERV BLDG,54 E. GREGORY CHAMPAIGN IL
1207 W. STOUGHTON,1207 W. STOUGHTON URBANA IL
"1205 W OREGON, URBANA",1205 W. OREGON URBANA IL
1006 W. OREGON,1006 W. OREGON URBANA IL
"59 E ARMORY, CHAMPAIGN",59 E. ARMORY CHAMPAIGN IL
ORCHARD PLACE APARTMENTS,1800 S. ORCHARD URBANA IL
BECKMAN INSTITUTE,405 N. MATHEWS URBANA IL
"55 E ARMORY, CHAMPAIGN",55 E. ARMORY CHAMPAIGN IL
ORCHARD DOWNS LAUNDRY - NORTH,1900 S. ORCHARD URBANA IL
602 E. GREEN,602 E. GREEN CHAMPAIGN IL
NORTH CAMPUS CHILLER PLANT,305 N. MATHEWS AVE. URBANA IL
HOUSING MAINTENANCE SHOP,511 N. HAZELWOOD DRIVE URBANA IL
ARMORY AVENUE WAREHOUSE,24 E. ARMORY CHAMPAIGN IL
"512 E CHALMERS, CHAMPAIGN",512 E. CHALMERS CHAMPAIGN IL
ORCHARD DOWNS LAUNDRY - SOUTH,2054 S. ORCHARD URBANA IL
MICRO AND NANOTECHNOLOGY LABORATORY,208 N. WRIGHT ST. URBANA IL
"1207 W OREGON, URBANA",1207 W. OREGON URBANA IL
VET MED RESEARCH BLDG,1608 S. MARYLAND URBANA IL
ORCHARD DOWNS APARTMENTS,1900 S. ORCHARD (1900-2200 S. ORCH) URBANA IL
TELEVISION BLDG,302 N. GOODWIN URBANA IL
MORRILL HALL,505 S. GOODWIN URBANA IL
"508 S SIXTH, CHAMPAIGN",508 S. SIXTH CHAMPAIGN IL
UNIVERSAL WASTE SYSTEM BUILDING,1409 S. OAK CHAMPAIGN IL
"205 S GOODWIN, URBANA",205 S. GOODWIN URBANA IL
710 S. GOODWIN,710 S. GOODWIN URBANA IL
"625 S. WRIGHT- suite 103, 201",625 S. WRIGHT ST. CHAMPAIGN IL
ORCHARD PLACE,S. ORCHARD URBANA IL
ORCHARD DOWNS COMMUNITY BUILDING,509 W. GEORGE HUFF COURT URBANA IL
"912 S FIFTH, CHAMPAIGN",912 S. FIFTH CHAMPAIGN IL
PRINTING SERVICES BUILDING,54 E. GREGORY DR. CHAMPAIGN IL
HOUSING WAREHOUSE,511 W. HAZELWOOD DRIVE URBANA IL
907 W. ILLINOIS,907 W. ILLINOIS URBANA IL
901 W. ILLINOIS,901 W. ILLINOIS URBANA IL
UNIVERSITY PRESS BUILDING,1325 S. OAK CHAMPAIGN IL
PLANT SCIENCES LABORATORY,1201 S. DORNER DRIVE URBANA IL
RICHARD T. UBBEN BASKETBALL COMPLEX,1750 S. FOURTH ST. CHAMPAIGN IL
"909 W NEVADA, URBANA",909 W. NEVADA URBANA IL
